,Campus,Term,Course Code,Course Title,Course Description,Activity Type,Section,Credits,Days,Time,Building,Room,Instructor,Credit,GenEd Requirements,Registration Code,enrollCount,enrollMaximum,myPlanLink,index,mean,median,sd,fourpointo_per,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Start,End,prefix,Matched_Name,Name,Rating,Difficulty,Link,Department,Instructor Name,amount_learned_median,grading_techniques_median,instructors_contribution_median,instructors_effectiveness_median,instuctors_interest_median,the_course_as_a_whole_median,the_course_content_median,Clean_Course_Code,UUID
11,Seattle,Spring 2025,AES    212,Comparative American Ethnic Literature,"Reviews selected texts by African American, American Indian, Asian American, Chicano/Latino, and Euro American writers. Includes a comparison of how texts envision and interpret a diverse American culture and social, political relations among peoples of the United States. Explores the power of cultural agency in the creation of America's literature.",quiz,AA,5,F,1:30 PM - 2:20 PM,CMU,226,Carter Yee,5,"A&H, SSc, DIV",10170,24,50,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20212/details,AES212,3.4376777251184834,3.8,0.9322943773784691,34.12322274881517,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,7.0,3.0,3.0,10.0,7.0,5.0,11.0,13.0,16.0,22.0,25.0,32.0,40.0,42.0,144.0,13:30,14:20,AES,No Match,,,,,,,,,,,,,,AES212,AES212ASpring2025
12,Seattle,Spring 2025,AES    212,Comparative American Ethnic Literature,"Reviews selected texts by African American, American Indian, Asian American, Chicano/Latino, and Euro American writers. Includes a comparison of how texts envision and interpret a diverse American culture and social, political relations among peoples of the United States. Explores the power of cultural agency in the creation of America's literature.",quiz,AB,5,F,2:30 PM - 3:20 PM,CMU,226,Kathleen Escarcha,5,"A&H, SSc, DIV",10171,8,50,https://course-app-api.planning.sis.uw.edu/api/courses/AES%20212/details,AES212,3.4376777251184834,3.8,0.9322943773784691,34.12322274881517,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,7.0,3.0,3.0,10.0,7.0,5.0,11.0,13.0,16.0,22.0,25.0,32.0,40.0,42.0,144.0,14:30,15:20,AES,Kathleen Escarcha,Kathleen Escarcha,5.0,2.0,https://www.ratemyprofessors.com/professor/2696539,English,Kathleen Escarcha,4.21,4.5,4.71,4.71,4.6,4.22,4.13,AES212,AES212ASpring2025
27,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",quiz,AA,5,F,8:30 AM - 9:20 AM,RAI,107,Keila Denise Taylor,5,"SSc, DIV",10095,2,12,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,08:30,09:20,AAS,No Match,Keila Taylor,4.3,3.0,https://www.ratemyprofessors.com/professor/2506375,Gender Women amp Sexuality Studies,,,,,,,,,AAS101,AAS101ASpring2025
28,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",quiz,AB,5,F,9:30 AM - 10:20 AM,SMI,305,MinhYen Do,5,"SSc, DIV",10096,11,13,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,09:30,10:20,AAS,No Match,,,,,,,,,,,,,,AAS101,AAS101ASpring2025
29,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",quiz,AC,5,F,9:30 AM - 10:20 AM,SAV,164,None,5,"SSc, DIV",10097,4,12,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,09:30,10:20,AAS,No Match,,,,,,,,,,,,,,AAS101,AAS101ASpring2025
30,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",quiz,AD,5,F,11:30 AM - 12:20 PM,THO,211,Keila Denise Taylor,5,"SSc, DIV",10098,4,13,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,11:30,12:20,AAS,No Match,Keila Taylor,4.3,3.0,https://www.ratemyprofessors.com/professor/2506375,Gender Women amp Sexuality Studies,,,,,,,,,AAS101,AAS101ASpring2025
31,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",quiz,AE,5,F,11:30 AM - 12:20 PM,THO,331,MinhYen Do,5,"SSc, DIV",10099,2,12,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,11:30,12:20,AAS,No Match,,,,,,,,,,,,,,AAS101,AAS101ASpring2025
32,Seattle,Spring 2025,AAS    101,Introduction to Asian American Studies,"Provides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions.",quiz,AF,5,F,12:30 PM - 1:20 PM,SAV,158,None,5,"SSc, DIV",10100,12,13,https://course-app-api.planning.sis.uw.edu/api/courses/AAS%20101/details,AAS101,3.1968000000000005,3.3,0.7527658511560329,7.466666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,6.0,13.0,11.0,7.0,23.0,24.0,30.0,31.0,29.0,25.0,27.0,26.0,25.0,23.0,28.0,12:30,13:20,AAS,No Match,,,,,,,,,,,,,,AAS101,AAS101ASpring2025
85,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AA,5,F,9:30 AM - 10:20 AM,LOW,202,None,5,"SSc, DIV",10295,4,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,09:30,10:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
86,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AB,5,F,9:30 AM - 10:20 AM,DEN,111,None,5,"SSc, DIV",10296,6,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,09:30,10:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
